:START_ID(User)	:END_ID(Circle)	:TYPE
71	0_circle_0	IN_CIRCLE
215	0_circle_0	IN_CIRCLE
54	0_circle_0	IN_CIRCLE
61	0_circle_0	IN_CIRCLE
298	0_circle_0	IN_CIRCLE
229	0_circle_0	IN_CIRCLE
81	0_circle_0	IN_CIRCLE
253	0_circle_0	IN_CIRCLE
193	0_circle_0	IN_CIRCLE
97	0_circle_0	IN_CIRCLE
264	0_circle_0	IN_CIRCLE
29	0_circle_0	IN_CIRCLE
132	0_circle_0	IN_CIRCLE
110	0_circle_0	IN_CIRCLE
163	0_circle_0	IN_CIRCLE
259	0_circle_0	IN_CIRCLE
183	0_circle_0	IN_CIRCLE
334	0_circle_0	IN_CIRCLE
245	0_circle_0	IN_CIRCLE
222	0_circle_0	IN_CIRCLE
173	0_circle_1	IN_CIRCLE
155	0_circle_2	IN_CIRCLE
99	0_circle_2	IN_CIRCLE
327	0_circle_2	IN_CIRCLE
140	0_circle_2	IN_CIRCLE
116	0_circle_2	IN_CIRCLE
147	0_circle_2	IN_CIRCLE
144	0_circle_2	IN_CIRCLE
150	0_circle_2	IN_CIRCLE
270	0_circle_2	IN_CIRCLE
51	0_circle_3	IN_CIRCLE
83	0_circle_3	IN_CIRCLE
237	0_circle_3	IN_CIRCLE
125	0_circle_4	IN_CIRCLE
344	0_circle_4	IN_CIRCLE
295	0_circle_4	IN_CIRCLE
257	0_circle_4	IN_CIRCLE
55	0_circle_4	IN_CIRCLE
122	0_circle_4	IN_CIRCLE
223	0_circle_4	IN_CIRCLE
59	0_circle_4	IN_CIRCLE
268	0_circle_4	IN_CIRCLE
280	0_circle_4	IN_CIRCLE
84	0_circle_4	IN_CIRCLE
156	0_circle_4	IN_CIRCLE
258	0_circle_4	IN_CIRCLE
236	0_circle_4	IN_CIRCLE
250	0_circle_4	IN_CIRCLE
239	0_circle_4	IN_CIRCLE
69	0_circle_4	IN_CIRCLE
23	0_circle_5	IN_CIRCLE
337	0_circle_6	IN_CIRCLE
289	0_circle_6	IN_CIRCLE
93	0_circle_6	IN_CIRCLE
17	0_circle_6	IN_CIRCLE
111	0_circle_6	IN_CIRCLE
52	0_circle_6	IN_CIRCLE
137	0_circle_6	IN_CIRCLE
343	0_circle_6	IN_CIRCLE
192	0_circle_6	IN_CIRCLE
35	0_circle_6	IN_CIRCLE
326	0_circle_6	IN_CIRCLE
310	0_circle_6	IN_CIRCLE
214	0_circle_6	IN_CIRCLE
32	0_circle_6	IN_CIRCLE
115	0_circle_6	IN_CIRCLE
321	0_circle_6	IN_CIRCLE
209	0_circle_6	IN_CIRCLE
312	0_circle_6	IN_CIRCLE
41	0_circle_6	IN_CIRCLE
20	0_circle_6	IN_CIRCLE
225	0_circle_7	IN_CIRCLE
46	0_circle_7	IN_CIRCLE
282	0_circle_8	IN_CIRCLE
336	0_circle_9	IN_CIRCLE
204	0_circle_9	IN_CIRCLE
74	0_circle_9	IN_CIRCLE
206	0_circle_9	IN_CIRCLE
292	0_circle_9	IN_CIRCLE
146	0_circle_9	IN_CIRCLE
154	0_circle_9	IN_CIRCLE
164	0_circle_9	IN_CIRCLE
279	0_circle_9	IN_CIRCLE
73	0_circle_9	IN_CIRCLE
42	0_circle_10	IN_CIRCLE
14	0_circle_10	IN_CIRCLE
216	0_circle_10	IN_CIRCLE
2	0_circle_10	IN_CIRCLE
324	0_circle_11	IN_CIRCLE
265	0_circle_11	IN_CIRCLE
54	0_circle_11	IN_CIRCLE
161	0_circle_11	IN_CIRCLE
298	0_circle_11	IN_CIRCLE
76	0_circle_11	IN_CIRCLE
165	0_circle_11	IN_CIRCLE
199	0_circle_11	IN_CIRCLE
203	0_circle_11	IN_CIRCLE
13	0_circle_11	IN_CIRCLE
66	0_circle_11	IN_CIRCLE
113	0_circle_11	IN_CIRCLE
97	0_circle_11	IN_CIRCLE
252	0_circle_11	IN_CIRCLE
313	0_circle_11	IN_CIRCLE
238	0_circle_11	IN_CIRCLE
158	0_circle_11	IN_CIRCLE
240	0_circle_11	IN_CIRCLE
331	0_circle_11	IN_CIRCLE
332	0_circle_11	IN_CIRCLE
134	0_circle_11	IN_CIRCLE
218	0_circle_11	IN_CIRCLE
118	0_circle_11	IN_CIRCLE
235	0_circle_11	IN_CIRCLE
311	0_circle_11	IN_CIRCLE
151	0_circle_11	IN_CIRCLE
308	0_circle_11	IN_CIRCLE
212	0_circle_11	IN_CIRCLE
70	0_circle_11	IN_CIRCLE
211	0_circle_11	IN_CIRCLE
278	0_circle_12	IN_CIRCLE
138	0_circle_13	IN_CIRCLE
131	0_circle_13	IN_CIRCLE
68	0_circle_13	IN_CIRCLE
143	0_circle_13	IN_CIRCLE
86	0_circle_13	IN_CIRCLE
175	0_circle_14	IN_CIRCLE
227	0_circle_14	IN_CIRCLE
108	0_circle_15	IN_CIRCLE
208	0_circle_15	IN_CIRCLE
251	0_circle_15	IN_CIRCLE
125	0_circle_15	IN_CIRCLE
325	0_circle_15	IN_CIRCLE
176	0_circle_15	IN_CIRCLE
133	0_circle_15	IN_CIRCLE
276	0_circle_15	IN_CIRCLE
198	0_circle_15	IN_CIRCLE
271	0_circle_15	IN_CIRCLE
288	0_circle_15	IN_CIRCLE
316	0_circle_15	IN_CIRCLE
96	0_circle_15	IN_CIRCLE
246	0_circle_15	IN_CIRCLE
347	0_circle_15	IN_CIRCLE
121	0_circle_15	IN_CIRCLE
7	0_circle_15	IN_CIRCLE
3	0_circle_15	IN_CIRCLE
170	0_circle_15	IN_CIRCLE
323	0_circle_15	IN_CIRCLE
56	0_circle_15	IN_CIRCLE
338	0_circle_15	IN_CIRCLE
23	0_circle_15	IN_CIRCLE
109	0_circle_15	IN_CIRCLE
141	0_circle_15	IN_CIRCLE
67	0_circle_15	IN_CIRCLE
345	0_circle_15	IN_CIRCLE
55	0_circle_15	IN_CIRCLE
114	0_circle_15	IN_CIRCLE
122	0_circle_15	IN_CIRCLE
50	0_circle_15	IN_CIRCLE
304	0_circle_15	IN_CIRCLE
318	0_circle_15	IN_CIRCLE
65	0_circle_15	IN_CIRCLE
15	0_circle_15	IN_CIRCLE
45	0_circle_15	IN_CIRCLE
317	0_circle_15	IN_CIRCLE
322	0_circle_15	IN_CIRCLE
26	0_circle_15	IN_CIRCLE
31	0_circle_15	IN_CIRCLE
168	0_circle_15	IN_CIRCLE
124	0_circle_15	IN_CIRCLE
285	0_circle_15	IN_CIRCLE
255	0_circle_15	IN_CIRCLE
129	0_circle_15	IN_CIRCLE
40	0_circle_15	IN_CIRCLE
172	0_circle_15	IN_CIRCLE
274	0_circle_15	IN_CIRCLE
